ID,Groups,Description,Baseline [06-15 15:09],[06-15 15:22]
,end-to-end: real tom_specs_model §8.6 structural invariants,§8.6: no duplicate @SectionId strings across ProjectDefinition tree,OK/OK,OK/OK
,end-to-end: real tom_specs_model §8.6 structural invariants,§8.6: every reachable class has @SectionId (or is @SectionIdPattern-covered),OK/OK,OK/OK
,end-to-end: real tom_specs_model §8.6 structural invariants,§8.6: no duplicate @SectionIdPattern strings,OK/OK,OK/OK
,end-to-end: real tom_specs_model §8.6 structural invariants,§8.6: every @DetailedIn(D) class has @MapsTo(D) on itself or an ancestor,OK/OK,OK/OK
,end-to-end: real tom_specs_model §8.6 structural invariants,§8.6: @SecondLevelSectionId implies @DetailedIn on the same class,OK/OK,OK/OK
,end-to-end: real tom_specs_model §8.6 structural invariants,§8.6: every @Document class has at least one @DetailedIn entry in PD tree,OK/OK,OK/OK
,end-to-end: real tom_specs_model §8.6 structural invariants,§8.6: no reachable complex List<T> field lacks @SectionIdPattern (excluding @Reference),OK/OK,OK/OK
,end-to-end: real tom_specs_model §8.6 structural invariants,§8.6: list container IDs are per-class unique and pattern-paired (field-suffix scheme),OK/OK,OK/OK
,end-to-end: real tom_specs_model §8.6 structural invariants,outliner validates BusinessSystemInteractions root without errors,OK/OK,OK/OK
,unit: @SectionId uniqueness check,detects duplicate @SectionId across two sibling classes,OK/OK,OK/OK
,unit: @SectionId uniqueness check,passes when all @SectionIds are distinct,OK/OK,OK/OK
,unit: @SectionId coverage check,warns when a reachable class has no @SectionId and no @SectionIdPattern coverage,OK/OK,OK/OK
,unit: @SectionId coverage check,does not warn for list-element types covered by @SectionIdPattern,OK/OK,OK/OK
,unit: @SectionIdPattern list-coverage check,errors when a complex List<T> field lacks @SectionIdPattern,OK/OK,OK/OK
,unit: @SectionIdPattern list-coverage check,passes when the complex List<T> field carries @SectionIdPattern,OK/OK,OK/OK
,unit: @SectionIdPattern list-coverage check,does not error for a @Reference list field without @SectionIdPattern,OK/OK,OK/OK
,unit: list container-ID (-LST) checks,passes when sibling lists carry distinct field-suffixed container IDs,OK/OK,OK/OK
,unit: list container-ID (-LST) checks,errors when two sibling lists share a container ID (per-class uniqueness),OK/OK,OK/OK
,unit: list container-ID (-LST) checks,errors when one container ID maps to two element types (type-consistency),OK/OK,OK/OK
,unit: list container-ID (-LST) checks,errors when @SectionIdPattern does not mirror the container ID (pairing),OK/OK,OK/OK
,unit: @SecondLevelSectionId implies @DetailedIn,errors when @SecondLevelSectionId exists without matching @DetailedIn,OK/OK,OK/OK
,unit: @SecondLevelSectionId implies @DetailedIn,passes when @SecondLevelSectionId is accompanied by @DetailedIn,OK/OK,OK/OK
,unit: @DetailedIn ancestor @MapsTo check,errors when @DetailedIn(D) has no @MapsTo(D) on self or ancestor,OK/OK,OK/OK
,unit: @DetailedIn ancestor @MapsTo check,passes when @MapsTo(D) is on the same class as @DetailedIn(D),OK/OK,OK/OK
,unit: @DetailedIn ancestor @MapsTo check,passes when @MapsTo(D) is on an ancestor of the @DetailedIn(D) class,OK/OK,OK/OK
