ID,Groups,Description,Baseline [06-23 00:20],[06-23 01:40],[06-23 01:44],[06-23 04:59],[06-23 05:04]
,SomNode,holds the document and its path,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,SpecDocument content/scalar leaves,an empty value clears the path (D4),OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,SpecDocument form fields,writes and reads form sub-fields independently,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,SpecDocument form fields,clearing the last sub-field removes the whole form entry,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,,a well-formed document validates clean,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,SpecDocument lists,append yields stable monotonic item paths,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,,a dangling content path is reported,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,SpecDocument lists,removing an item purges nested values and never renumbers,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,,an unknown form field is reported,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,SpecDocument lists,hasValuesUnder spans descendants and list items,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,,a populated list below its @Min is reported,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,export,emits a docspec header and section headings for populated nodes,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,,a value written where a list is expected is a kind mismatch,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,export,a content leaf with a backtick run is fenced wide enough to survive,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,SpecDocument persistence,toJson/loadJson round-trips every store,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,SpecDocument undo snapshots,captureState/restoreState is an absolute round-trip,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,SpecDocument undo snapshots,fingerprint changes only when values change,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,encode,writes the format version and a block scalar for multi-line content,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,encode,an empty document emits `document: {}` and no sub-sections,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,encode,the model-version stamp is written and omitted when absent,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,round-trip,export → parse into a fresh document reproduces every value,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,round-trip,Markdown → memory → Markdown is byte-stable for the fixture,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,parse-rejection protocol,an unknown section id is reported; valid siblings still parsed,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,SpecDocument content/scalar leaves,reads back a value written by path,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,parse-rejection protocol,a fenced block with no owning section is reported as orphaned,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,SomNode,a typed leaf mutation is visible through the generic path,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,parse-rejection protocol,a form-field anchor under a non-form heading is a kind mismatch,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,SomNode,a generic mutation is visible through the typed leaf,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,SomList,add appends an item reachable both ways,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,round-trip,YAML → memory → YAML is byte-stable for a populated fixture,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,,model.meta.json round-trips through SpecModel unchanged,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,SomList,removeAt drops the item and its nested values,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,SomList,scalar list items carry a string value,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,,state.json matches the live document toJson(),OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,checkSomModelVersion,a null/empty document stamp is always accepted,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,checkSomModelVersion,an older or equal same-major document is editable,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,round-trip,every value survives the round-trip verbatim,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,,YAML encode is byte-stable against the committed golden,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,checkSomModelVersion,a newer same-major document is rejected,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
,checkSomModelVersion,a different major version is rejected,OK/OK,OK/OK,OK/OK,OK/OK,OK/OK
